repo,scanner,dimension,rule_id,severity,package_name,package_version,package_type,fixed_versions,description,source_file,line
Flowise,grype,dependencies,GHSA-4r4m-qw57-chr8,Medium,vite,4.5.2,npm,4.5.11,Vite has a `server.fs.deny` bypassed for `inline` and `raw` with `?import` query,,
Flowise,grype,dependencies,GHSA-4r4m-qw57-chr8,Medium,vite,5.1.6,npm,5.4.16,Vite has a `server.fs.deny` bypassed for `inline` and `raw` with `?import` query,,
Flowise,grype,dependencies,GHSA-x574-m823-4x7w,Medium,vite,4.5.2,npm,4.5.10,Vite bypasses server.fs.deny when using ?raw??,,
Flowise,grype,dependencies,GHSA-x574-m823-4x7w,Medium,vite,5.1.6,npm,5.4.15,Vite bypasses server.fs.deny when using ?raw??,,
Flowise,grype,dependencies,GHSA-72xf-g2v4-qvf3,Medium,tough-cookie,2.5.0,npm,4.1.3,tough-cookie Prototype Pollution vulnerability,,
Flowise,grype,dependencies,GHSA-xcj6-pq6g-qj4x,Medium,vite,4.5.2,npm,4.5.12,Vite allows server.fs.deny to be bypassed with .svg or relative paths,,
Flowise,grype,dependencies,GHSA-xcj6-pq6g-qj4x,Medium,vite,5.1.6,npm,5.4.17,Vite allows server.fs.deny to be bypassed with .svg or relative paths,,
Flowise,grype,dependencies,GHSA-4vvj-4cpr-p986,Medium,webpack,5.90.3,npm,5.94.0,Webpack's AutoPublicPathRuntimeModule has a DOM Clobbering Gadget that leads to XSS,,
Flowise,grype,dependencies,GHSA-4w7w-66w2-5vf9,Medium,vite,4.5.2,npm,6.4.2,Vite Vulnerable to Path Traversal in Optimized Deps `.map` Handling,,
Flowise,grype,dependencies,GHSA-4w7w-66w2-5vf9,Medium,vite,5.1.6,npm,6.4.2,Vite Vulnerable to Path Traversal in Optimized Deps `.map` Handling,,
Flowise,grype,dependencies,GHSA-859w-5945-r5v3,Medium,vite,4.5.2,npm,4.5.14,Vite's server.fs.deny bypassed with /. for files under project root,,
Flowise,grype,dependencies,GHSA-859w-5945-r5v3,Medium,vite,5.1.6,npm,5.4.19,Vite's server.fs.deny bypassed with /. for files under project root,,
Flowise,grype,dependencies,GHSA-g4jq-h2w9-997c,Low,vite,4.5.2,npm,5.4.20,Vite middleware may serve files starting with the same name with the public directory,,
Flowise,grype,dependencies,GHSA-g4jq-h2w9-997c,Low,vite,5.1.6,npm,5.4.20,Vite middleware may serve files starting with the same name with the public directory,,
Flowise,grype,dependencies,GHSA-f5x3-32g6-xq36,Medium,tar,6.2.0,npm,6.2.1,Denial of service while parsing a tar file due to lack of folders count validation,,
Flowise,grype,dependencies,GHSA-c76h-2ccp-4975,Medium,undici,5.28.4,npm,5.28.5,Use of Insufficiently Random Values in undici,,
Flowise,grype,dependencies,GHSA-mw96-cpmx-2vgc,High,rollup,4.45.0,npm,4.59.0,Rollup 4 has Arbitrary File Write via Path Traversal,,
Flowise,grype,dependencies,GHSA-p8p7-x288-28g6,Medium,request,2.88.2,npm,,Server-Side Request Forgery in Request,,
Flowise,grype,dependencies,GHSA-cm22-4g7w-348p,Low,serve-static,1.15.0,npm,1.16.0,serve-static vulnerable to template injection that can lead to XSS,,
Flowise,grype,dependencies,GHSA-64fm-8hw2-v72w,Medium,katex,0.16.9,npm,0.16.10,KaTeX's maxExpand bypassed by `\edef`,,
Flowise,grype,dependencies,GHSA-g5hg-p3ph-g8qg,High,multer,1.4.5-lts.1,npm,2.0.1,Multer vulnerable to Denial of Service via unhandled exception,,
Flowise,grype,dependencies,GHSA-4v9v-hfq4-rm2v,Medium,webpack-dev-server,4.15.1,npm,5.2.1,webpack-dev-server users' source code may be stolen when they access a malicious web site,,
Flowise,grype,dependencies,GHSA-8266-84wp-wv5c,Medium,svelte,4.2.18,npm,4.2.19,Svelte has a potential mXSS vulnerability due to improper HTML escaping,,
Flowise,grype,dependencies,GHSA-wf6x-7x77-mvgw,High,immutable,4.3.5,npm,4.3.8,Immutable is vulnerable to Prototype Pollution,,
Flowise,grype,dependencies,GHSA-hj76-42vx-jwp4,High,seroval,1.3.2,npm,1.4.1,seroval Affected by Prototype Pollution via JSON Deserialization,,
Flowise,grype,dependencies,GHSA-v9p9-hfj2-hcw8,High,undici,5.28.4,npm,6.24.0,Undici has Unhandled Exception in WebSocket Client Due to Invalid server_max_window_bits Validation,,
Flowise,grype,dependencies,GHSA-v9p9-hfj2-hcw8,High,undici,6.23.0,npm,6.24.0,Undici has Unhandled Exception in WebSocket Client Due to Invalid server_max_window_bits Validation,,
Flowise,grype,dependencies,GHSA-2w6w-674q-4c4q,Critical,handlebars,4.7.8,npm,4.7.9,Handlebars.js has JavaScript Injection via AST Type Confusion,,
Flowise,grype,dependencies,GHSA-rmjr-87wv-gf87,Medium,mammoth,1.7.0,npm,1.11.0,Mammoth is vulnerable to Directory Traversal,,
Flowise,grype,dependencies,GHSA-rmjr-87wv-gf87,Medium,mammoth,1.7.2,npm,1.11.0,Mammoth is vulnerable to Directory Traversal,,
Flowise,grype,dependencies,GHSA-g3ch-rx76-35fx,Medium,vue-template-compiler,2.7.16,npm,,vue-template-compiler vulnerable to client-side Cross-Site Scripting (XSS),,
Flowise,grype,dependencies,GHSA-776f-qx25-q3cc,Medium,xml2js,0.2.8,npm,0.5.0,xml2js is vulnerable to prototype pollution,,
Flowise,grype,dependencies,GHSA-64vr-g452-qvp3,Medium,vite,4.5.2,npm,4.5.4,Vite DOM Clobbering gadget found in vite bundled scripts that leads to XSS,,
Flowise,grype,dependencies,GHSA-64vr-g452-qvp3,Medium,vite,5.1.6,npm,5.1.8,Vite DOM Clobbering gadget found in vite bundled scripts that leads to XSS,,
Flowise,grype,dependencies,GHSA-44fp-w29j-9vj5,High,multer,1.4.5-lts.1,npm,2.0.0,Multer vulnerable to Denial of Service via memory leaks from unclosed streams,,
Flowise,grype,dependencies,GHSA-5rq4-664w-9x2c,Critical,basic-ftp,5.0.5,npm,5.2.0,Basic FTP has Path Traversal Vulnerability in its downloadToDir() method,,
Flowise,grype,dependencies,GHSA-8jhw-289h-jh2g,Medium,vite,4.5.2,npm,4.5.3,Vite's `server.fs.deny` did not deny requests for patterns with directories.,,
Flowise,grype,dependencies,GHSA-8jhw-289h-jh2g,Medium,vite,5.1.6,npm,5.1.7,Vite's `server.fs.deny` did not deny requests for patterns with directories.,,
Flowise,grype,dependencies,GHSA-7fh5-64p2-3v2j,Medium,postcss,7.0.39,npm,8.4.31,PostCSS line return parsing error,,
Flowise,grype,dependencies,GHSA-554w-wpv2-vw27,High,node-forge,1.3.1,npm,1.3.2,node-forge has ASN.1 Unbounded Recursion,,
Flowise,grype,dependencies,GHSA-f269-vfmq-vjvj,High,undici,6.23.0,npm,6.24.0,Undici: Malicious WebSocket 64-bit length overflows parser and crashes the client,,
Flowise,grype,dependencies,GHSA-cvr6-37gx-v8wc,Medium,katex,0.16.9,npm,0.16.10,KaTeX's maxExpand bypassed by Unicode sub/superscripts,,
Flowise,grype,dependencies,GHSA-356w-63v5-8wf4,Medium,vite,4.5.2,npm,4.5.13,Vite has an `server.fs.deny` bypass with an invalid `request-target`,,
Flowise,grype,dependencies,GHSA-356w-63v5-8wf4,Medium,vite,5.1.6,npm,5.4.18,Vite has an `server.fs.deny` bypass with an invalid `request-target`,,
Flowise,grype,dependencies,GHSA-4www-5p9h-95mh,Medium,http-proxy-middleware,3.0.3,npm,3.0.4,"http-proxy-middleware can call writeBody twice because ""else if"" is not used",,
Flowise,grype,dependencies,GHSA-87r5-mp6g-5w5j,High,jsonpath,1.1.1,npm,1.3.0,jsonpath has Arbitrary Code Injection via Unsafe Evaluation of JSON Path Expressions,,
Flowise,grype,dependencies,GHSA-rv95-896h-c2vc,Medium,express,4.18.3,npm,4.19.2,Express.js Open Redirect in malformed URLs,,
Flowise,grype,dependencies,GHSA-jc85-fpwf-qm7x,High,expr-eval,2.0.2,npm,,expr-eval does not restrict functions passed to the evaluate function,,
Flowise,grype,dependencies,GHSA-gmq8-994r-jv83,Medium,yauzl,3.2.0,npm,3.2.1,yauzl contains an off-by-one error,,
Flowise,grype,dependencies,GHSA-9jgg-88mc-972h,Medium,webpack-dev-server,4.15.1,npm,5.2.1,webpack-dev-server users' source code may be stolen when they access a malicious web site with non-Chromium based browser,,
Flowise,grype,dependencies,GHSA-x7hr-w5r2-h6wg,Medium,prismjs,1.29.0,npm,1.30.0,PrismJS DOM Clobbering vulnerability,,
Flowise,grype,dependencies,GHSA-vghf-hv5q-vc2g,High,validator,13.12.0,npm,13.15.22,Validator is Vulnerable to Incomplete Filtering of One or More Instances of Special Elements,,
Flowise,grype,dependencies,GHSA-3rxj-6cgf-8cfw,High,seroval,1.3.2,npm,1.4.1,seroval Affected by Remote Code Execution via JSON Deserialization,,
